# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	1	704	-							TA17495	704		partial
CDS	with_protein	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	1	704	-	CAI72873.1			SfiI-subtelomeric fragment related protein family member, putative			TA17495	704	235	partial
gene	protein_coding	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	2448	4289	-							TA17500	1842		
CDS	with_protein	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	2448	4289	-	CAI72874.1			SfiI-subtelomeric fragment related protein family member, putative			TA17500	1755	584	
gene	protein_coding	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	4455	12653	-							TA17505	8199		
CDS	with_protein	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	4455	12653	-	CAI72875.1			SfiI-subtelomeric fragment related protein family member, putative			TA17505	8199	2732	
gene	protein_coding	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	14409	15083	-							TA09760	675		
CDS	with_protein	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	14409	15083	-	CAI72876.1			phosphatidylserine decarboxylase, putative			TA09760	675	224	
gene	protein_coding	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	15519	16016	+							TA09756	498		
CDS	with_protein	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	15519	16016	+	CAI72877.1			hypothetical protein			TA09756	498	165	
gene	protein_coding	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	16715	17212	+							TA09755	498		
CDS	with_protein	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	16715	17212	+	CAI72878.1			hypothetical protein			TA09755	498	165	
gene	protein_coding	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	17321	18259	-							TA09750	939		
CDS	with_protein	GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	17321	18259	-	CAI72879.1			cyclin, putative			TA09750	714	237	
tRNA		GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	18353	18424	-								72		
tRNA		GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	18688	18759	-								72		
tRNA		GCA_000003225.1	Primary Assembly	chromosome	1	CR940347.1	19541	19612	-								72		
