# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	202	2252	-							BMR1_01G04286	2051		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	202	2252	-			SIO73116.1				BMR1_01G04286	1902		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	202	2252	-	SIO73116.1			Vesa-like			BMR1_01G04286	1902	633	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	3856	4368	-							BMR1_01G00004	513		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	3856	4368	-			CCF72475.1				BMR1_01G00004	513		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	4018	4368	-	CCF72475.1			BMN1 family, Pseudo gene			BMR1_01G00004	351	116	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	4700	6297	-							BMR1_01G00005	1598		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	4700	6297	-			CCF72476.1				BMR1_01G00005	1598		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	4700	6016	-	CCF72476.1			Tpr related protein, putative			BMR1_01G00005	1317	438	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	7385	7660	+							BMR1_01G00010	276		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	7385	7660	+			SIO73117.1				BMR1_01G00010	276		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	7385	7660	+	SIO73117.1			BMN2 family, Pseudo gene			BMR1_01G00010	276	91	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	7937	8927	-							BMR1_01G00015	991		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	7937	8927	-			CCF72478.1				BMR1_01G00015	991		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	7937	8572	-	CCF72478.1			LGT, TPK, Thiamine pyrophosphokinase			BMR1_01G00015	636	211	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	9010	10148	+							BMR1_01G00020	1139		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	9010	10148	+			CCF72479.1				BMR1_01G00020	1139		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	9010	10008	+	CCF72479.1			LGT, LDH, L-lactate dehydrogenase			BMR1_01G00020	999	332	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	10219	10697	-							BMR1_01G00025	479		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	10219	10697	-			CCF72480.1				BMR1_01G00025	439		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	10345	10672	-	CCF72480.1			small ubiquitin-related modifier			BMR1_01G00025	288	95	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	10748	14488	-							BMR1_01G00026	3741		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	10748	14488	-			SIO73118.1				BMR1_01G00026	3720		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	10748	14332	-	SIO73118.1			hypothetical protein			BMR1_01G00026	3564	1187	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	14557	15610	+							BMR1_01G00040	1054		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	14557	15610	+			SIO73119.1				BMR1_01G00040	1033		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	14557	15444	+	SIO73119.1			hypothetical protein			BMR1_01G00040	867	288	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	16543	17718	+							BMR1_01G00045	1176		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	16543	17718	+			SIO73120.1				BMR1_01G00045	1011		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	16543	17715	+	SIO73120.1			TBC domain containing protein			BMR1_01G00045	1008	335	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	17781	19654	-							BMR1_01G00050	1874		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	17781	19654	-			SIO73121.1				BMR1_01G00050	1740		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	17781	19654	-	SIO73121.1			Thioredoxin-like			BMR1_01G00050	1740	579	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	19712	21471	+							BMR1_01G00055	1760		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	19712	21471	+			SIO73122.1				BMR1_01G00055	1680		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	19712	21471	+	SIO73122.1			hypothetical protein			BMR1_01G00055	1680	559	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	21538	22019	-							BMR1_01G00070	482		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	21538	22019	-			CCF72487.1				BMR1_01G00070	420		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	21538	21974	-	CCF72487.1			conserved protein, unknown function			BMR1_01G00070	375	124	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	22134	22653	-							BMR1_01G00075	520		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	22134	22653	-			SIO73123.1				BMR1_01G00075	480		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	22251	22653	-	SIO73123.1			NOP15, nucleolar protein 15			BMR1_01G00075	363	120	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	22861	27345	-							BMR1_01G00076	4485		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	22861	27345	-			SIO73124.1				BMR1_01G00076	4425		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	22861	27345	-	SIO73124.1			conserved Plasmodium protein, unknown function			BMR1_01G00076	4425	1474	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	27431	28988	+							BMR1_01G00087	1558		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	27431	28988	+			SIO73125.1				BMR1_01G00087	1434		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	27431	28988	+	SIO73125.1			U3 small nucleolar RNA-associated protein 15 homolog			BMR1_01G00087	1434	477	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	29105	30753	-							BMR1_01G00090	1649		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	29105	30753	-			CCF72492.1				BMR1_01G00090	1626		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	29105	30675	-	CCF72492.1			hypothetical protein			BMR1_01G00090	1548	515	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	30801	32097	+							BMR1_01G00095	1297		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	30801	32097	+			CCF72493.1				BMR1_01G00095	1207		
CDS	with_protein	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	30801	32021	+	CCF72493.1			conserved Plasmodium protein, unknown function			BMR1_01G00095	1131	376	
gene	protein_coding	GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	32141	34284	-							BMR1_01G00100	2144		
mRNA		GCA_000691945.2	Primary Assembly	chromosome	I	FO082871.1	32141	34284	-			SIO73126.1				BMR1_01G00100	2063		
