# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	3039	4658	-							TpMuguga_01g00001	1620		old_locus_tag=TP01_0001
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	3039	4658	-			EAN33245.1	hypothetical protein			TpMuguga_01g00001	1620		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	3039	4658	-	EAN33245.1			hypothetical protein			TpMuguga_01g00001	1620	539	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	5178	6593	-							TpMuguga_01g00002	1416		old_locus_tag=TP01_0002
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	5178	6593	-			EAN33246.1	hypothetical protein			TpMuguga_01g00002	1416		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	5178	6593	-	EAN33246.1			hypothetical protein			TpMuguga_01g00002	1416	471	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	7216	17805	-							TpMuguga_01g00003	10590		old_locus_tag=TP01_0003
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	7216	17805	-			EAN33247.1	hypothetical protein			TpMuguga_01g00003	10590		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	7216	17805	-	EAN33247.1			hypothetical protein			TpMuguga_01g00003	10590	3529	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	19082	20668	-							TpMuguga_01g00004	1587		old_locus_tag=TP01_0004
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	19082	20668	-			EAN33248.2	SVSP family protein			TpMuguga_01g00004	1587		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	19259	20668	-	EAN33248.2			SVSP family protein			TpMuguga_01g00004	1410	469	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	20883	21967	-							TpMuguga_01g00005	1085		old_locus_tag=TP01_0005
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	20883	21967	-			EAN33249.1	SVSP family protein			TpMuguga_01g00005	1085		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	20951	21967	-	EAN33249.1			SVSP family protein			TpMuguga_01g00005	1017	338	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	22238	23719	-							TpMuguga_01g00006	1482		old_locus_tag=TP01_0006
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	22238	23719	-			EAN33250.1	SVSP family protein			TpMuguga_01g00006	1482		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	22238	23719	-	EAN33250.1			SVSP family protein			TpMuguga_01g00006	1482	493	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	23958	26808	-							TpMuguga_01g00007	2851		old_locus_tag=TP01_0007
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	23958	26808	-			EAN33251.2	SVSP family protein			TpMuguga_01g00007	2502		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	23958	26808	-	EAN33251.2			SVSP family protein			TpMuguga_01g00007	2502	833	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	27041	28600	-							TpMuguga_01g00008	1560		old_locus_tag=TP01_0008
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	27041	28600	-			EAN33252.2	SVSP family protein			TpMuguga_01g00008	1560		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	27041	28600	-	EAN33252.2			SVSP family protein			TpMuguga_01g00008	1560	519	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	28816	30312	-							TpMuguga_01g00009	1497		old_locus_tag=TP01_0009
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	28816	30312	-			EAN33253.1	SVSP family protein			TpMuguga_01g00009	1497		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	28816	30312	-	EAN33253.1			SVSP family protein			TpMuguga_01g00009	1497	498	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	30421	32352	-							TpMuguga_01g00010	1932		old_locus_tag=TP01_0010
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	30421	32352	-			EAN33254.2	hypothetical protein			TpMuguga_01g00010	1932		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	31204	32184	-	EAN33254.2			hypothetical protein			TpMuguga_01g00010	981	326	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	33474	38072	+					abc3		TpMuguga_01g00011	4599		old_locus_tag=TP01_0011
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	33474	38072	+			EAN33255.1	ABC transporter	abc3		TpMuguga_01g00011	4599		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	33474	38072	+	EAN33255.1			ABC transporter	abc3		TpMuguga_01g00011	4599	1532	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	38227	38981	-					ZBP14		TpMuguga_01g00012	755		old_locus_tag=TP01_0012
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	38227	38981	-			EAN33256.1	14 kDa zinc-binding protein	ZBP14		TpMuguga_01g00012	631		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	38315	38981	-	EAN33256.1			14 kDa zinc-binding protein	ZBP14		TpMuguga_01g00012	543	180	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	39236	40659	-					Exosc9		TpMuguga_01g00013	1424		old_locus_tag=TP01_0013
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	39236	40659	-			EAN33257.2	3' exoribonuclease domain 1 protein	Exosc9		TpMuguga_01g00013	1051		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	39236	40565	-	EAN33257.2			3' exoribonuclease domain 1 protein	Exosc9		TpMuguga_01g00013	957	318	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	40846	45297	-							TpMuguga_01g00014	4452		old_locus_tag=TP01_0014
mRNA		GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	40846	45297	-			EAN33258.2	Rhoptry neck protein 2			TpMuguga_01g00014	4311		
CDS	with_protein	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	40846	45297	-	EAN33258.2			Rhoptry neck protein 2			TpMuguga_01g00014	4311	1436	
gene	protein_coding	GCA_000165365.1	Primary Assembly	chromosome	1	AAGK01000001.1	45794	48760	+					Tsr1		TpMuguga_01g00015	2967		old_locus_tag=TP01_0015
